Net barter terms of trade (2000 = 100),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Canada,114.0611,106.8342,103.2491,103.8465,102.3503,99.86263,98.49959,101.5128,103.8148,106.0102,103.2723,101.035,99.20403,98.42035,99.10902,103.1944,104.2229,103.0751,106.7816,105.0641,100,101.143,105.463,111.4453,115.6111,119.7201,119.8083,123.5483,126.5885,114.7701
Mexico,305.3571429,306.557377,245.3125,207.3529412,197.1428571,173.9130435,109.3333333,113.253012,90.32258065,90.32258065,102.1505376,97.84946237,96.90721649,97.91666667,95.91836735,92.45,96.12,97.06,94,95,100,97.38,97.86,98.82,101.65,103.58,104.08,105.06,105.85,104.01
United States,90.53699,93.69633,96.33652,101.5297,101.0879,102.8914,107.53,102.0002,104.1269,103.7041,101.3715,102.2839,101.5727,102.3776,102.8232,103.3394,102.863,104.0286,107.0527,104.8008,100,102.7991,104.3582,102.9771,101.2381,97.16645,95.95435,96.56176,91.81276,98.95343
