"Foreign direct investment, net inflows (% of GDP)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Canada,2.161940976,0.220747743,0.029245363,0.598994326,1.36939677,0.381398699,0.77222977,1.92504974,1.218696441,1.084895383,1.300893242,0.480499567,0.824250763,0.842496958,1.456837457,1.578131999,1.569845431,1.80740125,3.687375519,3.74868867,9.124364028,3.873366666,3.001791766,0.832224563,-0.074709478,2.284502889,4.715570431,8.261843382,3.85161689,1.679526814,1.495645808,
Mexico,1.075341703,1.230791243,1.094284322,1.47245615,0.877971307,1.075495576,1.572927218,0.844124474,1.098041413,1.249007508,0.970272194,1.508011211,1.208165021,1.088553792,2.601813676,3.322758316,2.759192606,3.195625153,3.028565108,2.884549557,3.114753966,4.799707679,3.685465339,2.64709935,3.266474393,2.859517608,2.095319667,2.945592525,2.427167916,1.793970358,1.910669149,
United States,0.611743451,0.811585798,0.386467144,0.298554279,0.634806686,0.478159052,0.800429379,1.244355062,1.14059938,1.254664779,0.843187035,0.390847623,0.316362707,0.780507071,0.659631361,0.787637632,1.116228664,1.278871192,2.048163826,3.111955704,3.245585323,1.632026891,0.796679949,0.574883671,1.235711927,0.895394962,1.823240503,1.580321543,2.16895271,1.128846528,1.619457533,
