Imports of goods and services (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Canada,18.13555927,18.05176693,17.79289882,17.44946007,18.15451673,18.65312117,19.30630827,19.2523871,19.98266478,21.14291917,19.77289613,19.80107489,20.76551454,21.77099166,24.37320661,24.1871663,22.86218587,23.35715223,24.67524512,26.32011932,26.22920576,26.19156603,21.79519243,22.20274876,25.11510692,25.95704468,26.88214211,25.64026414,25.95311649,25.65239734,25.68298376,25.69324172,27.46588054,30.20872296,32.82174885,34.13241925,34.36078025,37.52788216,39.44061737,39.52430731,39.82566969,37.79944551,37.14972179,34.36074763,34.10891266,34.08463109,33.62329832,33.01900053,33.59410958,30.4337845,31.30927584,
Mexico,11.64923625,10.61979388,10.0947515,9.967493138,9.858269494,9.527160278,9.00746575,9.010688497,9.352493864,9.260790711,9.651780421,8.71908998,8.834187877,9.466293757,10.57588983,9.619655401,9.867471042,10.22074365,11.03788961,12.45290576,12.97391821,12.93573692,10.31556292,9.421007416,9.552644091,10.33384699,13.43424423,13.3859822,18.53783002,19.06173181,19.7053901,19.27245176,20.27153981,19.17368449,21.6033558,27.70343171,30.01892695,30.37346506,32.81413462,32.35655429,32.93322023,29.7739296,28.63910356,26.81631766,28.37370446,28.55306909,29.2158214,29.50796866,30.2807732,29.06491745,31.73566573,
United States,4.383788482,4.205006492,4.30221761,4.268963959,4.274414716,4.423647744,4.751777087,4.836034431,5.169415866,5.188080043,5.444964871,5.596981403,6.057142857,6.660337399,8.580658187,7.558211162,8.352219336,9.058402861,9.323374341,9.93512876,10.61607949,10.2390618,9.393685906,9.370098948,10.38611424,9.969413114,10.23502825,10.82593799,10.944507,10.86456974,10.9497809,10.51309289,10.66466511,10.93742879,11.63113266,12.29968385,12.43694443,12.78750076,12.76398581,13.45446726,14.90382673,13.66732135,13.50493853,13.93337662,15.22904091,16.11962129,16.79863829,16.96891747,17.88149879,14.05603669,16.15645851,
