Exports of goods and services (% of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Canada,28.08231814,26.91728322,25.69005868,25.45905792,28.63971422,28.2839284,27.85299127,26.82051493,26.72379766,25.68478155,25.81373424,25.1195345,27.09342165,30.20748531,34.00391504,37.32358044,38.38712144,39.49144305,41.44417376,43.18406907,45.5785327,43.54170577,41.56326844,38.12088116,38.42107791,37.80885034,36.13301112,34.95827964,35.11716845,28.74632518,29.43060726,31.16629526
Mexico,10.70529843,10.40875567,15.33109898,19.00240487,17.38113668,15.41489157,17.34074123,19.49826778,19.92787403,18.99694164,18.60079267,16.36487066,15.23779325,15.24761386,16.78871487,30.36237365,32.07649964,30.26688826,30.69435993,30.73750869,30.93905966,27.5590038,26.82257791,25.35489778,26.60531815,27.10142825,27.96842049,27.92758653,28.04789633,27.72170936,30.30954705,31.66823636
United States,10.14634146,9.833107803,8.774049633,7.898713964,7.753050969,7.216593386,7.238418079,7.742237545,8.769434402,9.248671802,9.600403422,10.0595208,10.14085407,9.959136551,10.3055782,11.06371961,11.19454013,11.55937746,10.91293902,10.6364907,11.04376288,10.04211493,9.471020377,9.38742752,10.00355999,10.38736738,11.04810545,11.90176052,12.98798112,11.42154076,12.79110088,13.96943561
